bs_month,bs_year,bs_account_name,bs_amount,bs_src
03,2022,Spare Parts,137421.764230158,PPP
03,2022,"Stores, Supplies and Others",100840.66384613299,PPP
03,2022,Goods in Transit,73544.660534588,PPP
03,2022,Other Current Assets,220861.12339193045,PPP
03,2022,Investments - At Cost,13013280.814637681,PPP
03,2022,"Property, Plant And Equipment - At Cost",0.0,PPP
03,2022,Land and Land Improvements,675633.310591589,PPP
03,2022,Buildings and Structures,2713216.420596481,PPP
03,2022,Plant Machinery and Equipment,10428629.563790273,PPP
03,2022,Transportation and Miscellaneous Equipment,345035.072176821,PPP
03,2022,Office Furniture and Equipment,121574.089096121,PPP
03,2022,Construction in Progress,864160.2895178101,PPP
03,2022,Sundry Assets,0.0,PPP
03,2022,Accumulated Depreciation,-7882282.871446356,PPP
03,2022,Right of Use Assets,-3977.3468700000003,PPP
03,2022,Other Assets,0.0,PPP
03,2022,Investment Property,6830.280839999999,PPP
03,2022,Goodwill - Dyna & Orient,17638.57086,PPP
03,2022,Deferred Income Tax,100633.05599534842,PPP
03,2022,Deferred Charges & Others,133739.878071215,PPP
03,2022,Manpower,1671.0,PPP
04,2022,Cash on Hand and in Banks,1490897.0649521064,PPP
04,2022,Accounts and Notes Receivable - Trade,3109916.296982567,PPP
04,2022,Receivable from Subsidiaries - Trade,21984.00765696662,PPP
04,2022,Receivable from Subsidiaries - Current Account,28711.515512614063,PPP
04,2022,Promissory Notes Receivable to Subsidiaries,2544461.9787500002,PPP
04,2022,Contract Assets,0.0,PPP
04,2022,Inventories - Finished Goods,1420843.5323784128,PPP
04,2022,Goods in Process,248655.09435250398,PPP
04,2022,Raw Materials,1508268.8380292477,PPP
04,2022,Spare Parts,137724.300048624,PPP
04,2022,"Stores, Supplies and Others",106964.812465384,PPP
04,2022,Goods in Transit,48339.468213072,PPP
04,2022,Other Current Assets,245485.31749192515,PPP
04,2022,Investments - At Cost,13254119.765403809,PPP
04,2022,"Property, Plant And Equipment - At Cost",0.0,PPP
04,2022,Land and Land Improvements,686206.976718392,PPP
04,2022,Buildings and Structures,2754273.155149752,PPP
04,2022,Plant Machinery and Equipment,10534662.388509898,PPP
